,variable,long_name,component,experiment,frequency,vertical_levels,spatial_domain,units,start_time,end_time,path
170,U,zonal wind,atm,CTRL,monthly,30.0,global,m/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-U.zarr
171,V,meridional wind,atm,CTRL,monthly,30.0,global,m/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-V.zarr
172,Z3,geopotential height (above sea level),atm,CTRL,monthly,30.0,global,m,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-CTRL-Z3.zarr
173,FLNS,net longwave flux at surface,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FLNS.zarr
174,FLNSC,clearsky net longwave flux at surface,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FLNSC.zarr
175,FLUT,upwelling longwave flux at top of model,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FLUT.zarr
176,FSNS,net solar flux at surface,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FSNS.zarr
177,FSNSC,clearsky net solar flux at surface,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FSNSC.zarr
178,FSNTOA,net solar flux at top of atmosphere,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-FSNTOA.zarr
179,ICEFRAC,fraction of sfc area covered by sea-ice,atm,HIST,monthly,1.0,global,fraction,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-ICEFRAC.zarr
180,LHFLX,surface latent heat flux,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-LHFLX.zarr
181,PRECC,convective precipitation rate (liq + ice),atm,HIST,monthly,1.0,global,m/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-PRECC.zarr
182,PRECL,large-scale (stable) precipitation rate (liq + ice),atm,HIST,monthly,1.0,global,m/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-PRECL.zarr
183,PRECSC,convective snow rate (water equivalent),atm,HIST,monthly,1.0,global,m/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-PRECSC.zarr
184,PRECSL,large-scale (stable) snow rate (water equivalent),atm,HIST,monthly,1.0,global,m/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-PRECSL.zarr
185,PSL,sea level pressure,atm,HIST,monthly,1.0,global,Pa,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-PSL.zarr
186,Q,specific humidity,atm,HIST,monthly,30.0,global,kg/kg,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-Q.zarr
187,SHFLX,surface sensible heat flux,atm,HIST,monthly,1.0,global,W/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-SHFLX.zarr
188,T,temperature,atm,HIST,monthly,30.0,global,K,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-T.zarr
189,TMQ,total (vertically integrated) precipitable water,atm,HIST,monthly,1.0,global,kg/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-TMQ.zarr
190,TREFHT,reference height temperature,atm,HIST,monthly,1.0,global,K,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-TREFHT.zarr
191,TREFHTMN,minimum reference height temperature over output period,atm,HIST,monthly,1.0,global,K,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-TREFHTMN.zarr
192,TREFHTMX,maximum reference height temperature over output period,atm,HIST,monthly,1.0,global,K,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-TREFHTMX.zarr
193,TS,surface temperature (radiative),atm,HIST,monthly,1.0,global,K,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-TS.zarr
194,U,zonal wind,atm,HIST,monthly,30.0,global,m/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-U.zarr
195,V,meridional wind,atm,HIST,monthly,30.0,global,m/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-V.zarr
196,Z3,geopotential height (above sea level),atm,HIST,monthly,30.0,global,m,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-HIST-Z3.zarr
197,FLNS,net longwave flux at surface,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FLNS.zarr
198,FLNSC,clearsky net longwave flux at surface,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FLNSC.zarr
199,FLUT,upwelling longwave flux at top of model,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FLUT.zarr
200,FSNS,net solar flux at surface,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FSNS.zarr
201,FSNSC,clearsky net solar flux at surface,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FSNSC.zarr
202,FSNTOA,net solar flux at top of atmosphere,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-FSNTOA.zarr
203,ICEFRAC,fraction of sfc area covered by sea-ice,atm,RCP85,monthly,1.0,global,fraction,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-ICEFRAC.zarr
204,LHFLX,surface latent heat flux,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-LHFLX.zarr
205,PRECC,convective precipitation rate (liq + ice),atm,RCP85,monthly,1.0,global,m/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PRECC.zarr
206,PRECL,large-scale (stable) precipitation rate (liq + ice),atm,RCP85,monthly,1.0,global,m/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PRECL.zarr
207,PRECSC,convective snow rate (water equivalent),atm,RCP85,monthly,1.0,global,m/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PRECSC.zarr
208,PRECSL,large-scale (stable) snow rate (water equivalent),atm,RCP85,monthly,1.0,global,m/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PRECSL.zarr
209,PS,surface pressure,atm,RCP85,monthly,1.0,global,Pa,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PS.zarr
210,PSL,sea level pressure,atm,RCP85,monthly,1.0,global,Pa,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-PSL.zarr
211,Q,specific humidity,atm,RCP85,monthly,30.0,global,kg/kg,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-Q.zarr
212,SHFLX,surface sensible heat flux,atm,RCP85,monthly,1.0,global,W/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-SHFLX.zarr
213,T,temperature,atm,RCP85,monthly,30.0,global,K,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-T.zarr
214,TMQ,total (vertically integrated) precipitable water,atm,RCP85,monthly,1.0,global,kg/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-TMQ.zarr
215,TREFHT,reference height temperature,atm,RCP85,monthly,1.0,global,K,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-TREFHT.zarr
216,TREFHTMN,minimum reference height temperature over output period,atm,RCP85,monthly,1.0,global,K,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-TREFHTMN.zarr
217,TREFHTMX,maximum reference height temperature over output period,atm,RCP85,monthly,1.0,global,K,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-TREFHTMX.zarr
218,TS,surface temperature (radiative),atm,RCP85,monthly,1.0,global,K,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-TS.zarr
219,U,zonal wind,atm,RCP85,monthly,30.0,global,m/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-U.zarr
220,V,meridional wind,atm,RCP85,monthly,30.0,global,m/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-V.zarr
221,Z3,geopotential height (above sea level),atm,RCP85,monthly,30.0,global,m,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/atm/monthly/cesmLE-RCP85-Z3.zarr
222,,,atm,CTRL,static,,global,,,,s3://ncar-cesm-lens/atm/static/grid.zarr
223,,,atm,HIST,static,,global,,,,s3://ncar-cesm-lens/atm/static/grid.zarr
224,,,atm,RCP85,static,,global,,,,s3://ncar-cesm-lens/atm/static/grid.zarr
225,,,atm,20C,static,,global,,,,s3://ncar-cesm-lens/atm/static/grid.zarr
226,aice_d,ice area  (aggregate),ice_nh,CTRL,daily,1.0,artic_ocean,%,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-CTRL-aice_d.zarr
227,hi_d,grid cell mean ice thickness,ice_nh,CTRL,daily,1.0,artic_ocean,m,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-CTRL-hi_d.zarr
228,aice_d,ice area  (aggregate),ice_nh,HIST,daily,1.0,artic_ocean,%,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-HIST-aice_d.zarr
229,hi_d,grid cell mean ice thickness,ice_nh,HIST,daily,1.0,artic_ocean,m,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-HIST-hi_d.zarr
230,aice_d,ice area  (aggregate),ice_nh,RCP85,daily,1.0,artic_ocean,%,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-RCP85-aice_d.zarr
231,hi_d,grid cell mean ice thickness,ice_nh,RCP85,daily,1.0,artic_ocean,m,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/ice_nh/daily/cesmLE-RCP85-hi_d.zarr
232,aice,ice area  (aggregate),ice_nh,20C,monthly,1.0,artic_ocean,%,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-20C-aice.zarr
233,hi,grid cell mean ice thickness,ice_nh,20C,monthly,1.0,artic_ocean,m,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-20C-hi.zarr
234,aice,ice area  (aggregate),ice_nh,CTRL,monthly,1.0,artic_ocean,%,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-CTRL-aice.zarr
235,hi,grid cell mean ice thickness,ice_nh,CTRL,monthly,1.0,artic_ocean,m,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-CTRL-hi.zarr
236,aice,ice area  (aggregate),ice_nh,HIST,monthly,1.0,artic_ocean,%,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-HIST-aice.zarr
237,hi,grid cell mean ice thickness,ice_nh,HIST,monthly,1.0,artic_ocean,m,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-HIST-hi.zarr
238,aice,ice area  (aggregate),ice_nh,RCP85,monthly,1.0,artic_ocean,%,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-RCP85-aice.zarr
239,hi,grid cell mean ice thickness,ice_nh,RCP85,monthly,1.0,artic_ocean,m,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ice_nh/monthly/cesmLE-RCP85-hi.zarr
240,,,ice_nh,CTRL,static,,artic_ocean,,,,s3://ncar-cesm-lens/ice_nh/static/grid.zarr
241,,,ice_nh,HIST,static,,artic_ocean,,,,s3://ncar-cesm-lens/ice_nh/static/grid.zarr
242,,,ice_nh,RCP85,static,,artic_ocean,,,,s3://ncar-cesm-lens/ice_nh/static/grid.zarr
243,,,ice_nh,20C,static,,artic_ocean,,,,s3://ncar-cesm-lens/ice_nh/static/grid.zarr
244,aice_d,ice area  (aggregate),ice_sh,CTRL,daily,1.0,antarctica,%,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-CTRL-aice_d.zarr
245,hi_d,grid cell mean ice thickness,ice_sh,CTRL,daily,1.0,antarctica,m,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-CTRL-hi_d.zarr
246,aice_d,ice area  (aggregate),ice_sh,HIST,daily,1.0,antarctica,%,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-HIST-aice_d.zarr
247,hi_d,grid cell mean ice thickness,ice_sh,HIST,daily,1.0,antarctica,m,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-HIST-hi_d.zarr
248,aice_d,ice area  (aggregate),ice_sh,RCP85,daily,1.0,antarctica,%,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-RCP85-aice_d.zarr
249,hi_d,grid cell mean ice thickness,ice_sh,RCP85,daily,1.0,antarctica,m,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/ice_sh/daily/cesmLE-RCP85-hi_d.zarr
250,aice,ice area  (aggregate),ice_sh,20C,monthly,1.0,antarctica,%,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-20C-aice.zarr
251,hi,grid cell mean ice thickness,ice_sh,20C,monthly,1.0,antarctica,m,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-20C-hi.zarr
252,aice,ice area  (aggregate),ice_sh,CTRL,monthly,1.0,antarctica,%,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-CTRL-aice.zarr
253,hi,grid cell mean ice thickness,ice_sh,CTRL,monthly,1.0,antarctica,m,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-CTRL-hi.zarr
254,aice,ice area  (aggregate),ice_sh,HIST,monthly,1.0,antarctica,%,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-HIST-aice.zarr
255,hi,grid cell mean ice thickness,ice_sh,HIST,monthly,1.0,antarctica,m,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-HIST-hi.zarr
256,aice,ice area  (aggregate),ice_sh,RCP85,monthly,1.0,antarctica,%,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-RCP85-aice.zarr
257,hi,grid cell mean ice thickness,ice_sh,RCP85,monthly,1.0,antarctica,m,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ice_sh/monthly/cesmLE-RCP85-hi.zarr
258,,,ice_sh,CTRL,static,,antarctica,,,,s3://ncar-cesm-lens/ice_sh/static/grid.zarr
259,,,ice_sh,HIST,static,,antarctica,,,,s3://ncar-cesm-lens/ice_sh/static/grid.zarr
260,,,ice_sh,RCP85,static,,antarctica,,,,s3://ncar-cesm-lens/ice_sh/static/grid.zarr
261,,,ice_sh,20C,static,,antarctica,,,,s3://ncar-cesm-lens/ice_sh/static/grid.zarr
262,FSNO,fraction of ground covered by snow,lnd,CTRL,daily,1.0,global_land,unitless,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-FSNO.zarr
263,H2OSNO,snow depth (liquid water),lnd,CTRL,daily,1.0,global_land,mm,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-H2OSNO.zarr
264,QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,CTRL,daily,1.0,global_land,mm/s,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-QRUNOFF.zarr
265,RAIN,atmospheric rain,lnd,CTRL,daily,1.0,global_land,mm/s,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-RAIN.zarr
266,SNOW,atmospheric snow,lnd,CTRL,daily,1.0,global_land,mm/s,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-SNOW.zarr
267,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,CTRL,daily,1.0,global_land,kg/m2,0403-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-CTRL-SOILWATER_10CM.zarr
268,FSNO,fraction of ground covered by snow,lnd,HIST,daily,1.0,global_land,unitless,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-FSNO.zarr
269,H2OSNO,snow depth (liquid water),lnd,HIST,daily,1.0,global_land,mm,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-H2OSNO.zarr
270,QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,HIST,daily,1.0,global_land,mm/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-QRUNOFF.zarr
271,RAIN,atmospheric rain,lnd,HIST,daily,1.0,global_land,mm/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-RAIN.zarr
272,SNOW,atmospheric snow,lnd,HIST,daily,1.0,global_land,mm/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-SNOW.zarr
273,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,HIST,daily,1.0,global_land,kg/m2,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-SOILWATER_10CM.zarr
274,FSNO,fraction of ground covered by snow,lnd,RCP85,daily,1.0,global_land,unitless,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-FSNO.zarr
275,H2OSNO,snow depth (liquid water),lnd,RCP85,daily,1.0,global_land,mm,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-H2OSNO.zarr
276,QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,RCP85,daily,1.0,global_land,mm/s,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-QRUNOFF.zarr
277,RAIN,atmospheric rain,lnd,RCP85,daily,1.0,global_land,mm/s,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-RAIN.zarr
278,SNOW,atmospheric snow,lnd,RCP85,daily,1.0,global_land,mm/s,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-SNOW.zarr
279,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,RCP85,daily,1.0,global_land,kg/m2,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-SOILWATER_10CM.zarr
280,TREFMNAV_U,urban daily minimum of average 2-m temperature,lnd,RCP85,daily,1.0,global_land,K,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-TREFMNAV_U.zarr
281,TREFMXAV_U,urban daily maximum of average 2-m temperature,lnd,RCP85,daily,1.0,global_land,K,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-TREFMXAV_U.zarr
282,FSNO,fraction of ground covered by snow,lnd,20C,monthly,1.0,global_land,unitless,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-FSNO.zarr
283,H2OSNO,snow depth (liquid water),lnd,20C,monthly,1.0,global_land,mm,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-H2OSNO.zarr
284,QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,20C,monthly,1.0,global_land,mm/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-QRUNOFF.zarr
285,RAIN,atmospheric rain,lnd,20C,monthly,1.0,global_land,mm/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-RAIN.zarr
286,SNOW,atmospheric snow,lnd,20C,monthly,1.0,global_land,mm/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-SNOW.zarr
287,SOILLIQ,soil liquid water (vegetated landunits only),lnd,20C,monthly,1.0,global_land,kg/m2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-SOILLIQ.zarr
288,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,20C,monthly,1.0,global_land,kg/m2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-SOILWATER_10CM.zarr
289,FSNO,fraction of ground covered by snow,lnd,CTRL,monthly,1.0,global_land,unitless,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-FSNO.zarr
290,H2OSNO,snow depth (liquid water),lnd,CTRL,monthly,1.0,global_land,mm,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-H2OSNO.zarr
291,QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,CTRL,monthly,1.0,global_land,mm/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-QRUNOFF.zarr
292,RAIN,atmospheric rain,lnd,CTRL,monthly,1.0,global_land,mm/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-RAIN.zarr
293,SNOW,atmospheric snow,lnd,CTRL,monthly,1.0,global_land,mm/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-SNOW.zarr
294,SOILLIQ,soil liquid water (vegetated landunits only),lnd,CTRL,monthly,1.0,global_land,kg/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-SOILLIQ.zarr
295,SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,CTRL,monthly,1.0,global_land,kg/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-SOILWATER_10CM.zarr
296,FSNO,fraction of ground covered by snow,lnd,HIST,monthly,1.0,global_land,unitless,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-FSNO.zarr
297,H2OSNO,snow depth (liquid water),lnd,HIST,monthly,1.0,global_land,mm,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-H2OSNO.zarr
298,QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,HIST,monthly,1.0,global_land,mm/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-QRUNOFF.zarr
299,RAIN,atmospheric rain,lnd,HIST,monthly,1.0,global_land,mm/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-RAIN.zarr
300,SNOW,atmospheric snow,lnd,HIST,monthly,1.0,global_land,mm/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-SNOW.zarr
301,SOILLIQ,soil liquid water (vegetated landunits only),lnd,HIST,monthly,1.0,global_land,kg/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-SOILLIQ.zarr
